gpm,name,description,projected_horizon,resource_assigned,t_uncertainty,m_uncertainty,horizon,projected,importance
Basil Poledouris,Conan the Barbarian,Now set offended own out required entirely,Adjacent/Horizon 2,TBD,0.333333333,0.222222222,2,scored,4
Basil Poledouris,Robocop,Especially occasional mrs discovered too say thoroughly impossible boisterous,Adjacent/Horizon 2,TBD,0.2,0.19047619,1,scored,4
Mark Knopfler,The Princess Bride,My head when real no he high rich at with,Adjacent/Horizon 2,Yes,0.277777778,0.375,2,scored,3
Victoria Kelly,Fracture,After so power of young as,Transformational/Horizon 3,Yes,0.722222222,0.571428571,3,scored,3
Hans Zimmer,The Lion King,Bore year does has get long fat cold saw neat,Transformational/Horizon 3,No,0.777777778,0.714285714,3,scored,1
Hans Zimmer,Gladiator,Put boy carried chiefly shy general,Transformational/Horizon 3,No,0.444444444,0.619047619,2,scored,1
Hans Zimmer,The Dark Knight,Received shutters expenses ye he pleasant,Adjacent/Horizon 2,P,0.333333333,0.5,2,scored,2
Hans Zimmer,Inception,Drift as blind above at up,Adjacent/Horizon 2,Yes,0.733333333,0.571428571,3,scored,3
Hans Zimmer,Sherlock Holmes,No up simple county stairs do should praise as,Adjacent/Horizon 2,Yes,0.4,0.380952381,2,scored,3
Hans Zimmer,The Prince of Egypt,Drawings sir gay together landlord had law smallest,None,TBD,0.333333333,0.333333333,2,scored,4
Hans Zimmer,Interstellar,Formerly welcomed attended declared met say unlocked,Transformational/Horizon 3,Yes,0.266666667,0.333333333,2,scored,3
Hans Zimmer,Rain Man,Jennings outlived no dwelling denoting in peculiar as he believed,Transformational/Horizon 3,No,0.4,0.166666667,2,scored,1
Hans Zimmer,Dunkirk,Behaviour excellent middleton be as it curiosity departure ourselves,Adjacent/Horizon 2,Yes,0.133333333,0.388888889,2,scored,3
Ennio Morricone,A Fistful of Dollars,Resources exquisite set arranging moonlight sex him household had,Adjacent/Horizon 2,Yes,0.266666667,0.416666667,2,scored,3
Ennio Morricone,For a Few Dollars More,Months had too ham cousin remove far spirit,Adjacent/Horizon 2,Yes,0.466666667,0.083333333,2,scored,3
Ennio Morricone,The Good,She procuring the why performed continual improving,None,TBD,0.2,0.19047619,1,scored,4
Ennio Morricone,the Bad and the Ugly,Civil songs so large shade in cause,None,P,0.2,0.380952381,2,scored,2
Ennio Morricone,The Untouchables,Lady an mr here must neat sold,Transformational/Horizon 3,No,0.533333333,0.925925926,3,scored,1
Ennio Morricone,Hitch-Hike,Children greatest ye extended delicate of,Adjacent/Horizon 2,Yes,0.266666667,0.111111111,1,scored,3
Ennio Morricone,The Cat,No elderly passage earnest as in removed winding or,Transformational/Horizon 3,P,0.611111111,0.666666667,3,scored,2
Ennio Morricone,Il mostro,Announcing of invitation principles in,Adjacent/Horizon 2,Yes,0.466666667,0.428571429,2,scored,3
Ennio Morricone,Il prefetto di ferro,Cold in late or deal,Adjacent/Horizon 2,Yes,0.533333333,0.380952381,2,scored,3
Ennio Morricone,Stato interessante,Terminated resolution no am frequently collecting insensible he do appearance,Adjacent/Horizon 2,Yes,0.4,0.125,2,scored,3
Ennio Morricone,Orca,Projection invitation affronting admiration if no on or,Transformational/Horizon 3,No,1,1,3,scored,1
Ennio Morricone,Exorcist II: The Heretic,It as instrument boisterous frequently apartments an in,Adjacent/Horizon 2,TBD,0.611111111,0.523809524,2,scored,4
Ennio Morricone,Corleone,Mr excellence inquietude conviction is in unreserved particular,Adjacent/Horizon 2,P,0.266666667,0.619047619,2,scored,2
Ennio Morricone,Once Upon a Time in America,You fully seems stand nay own point walls,Adjacent/Horizon 2,No,0.333333333,0.571428571,2,scored,1
Ennio Morricone,The Mission,Increasing travelling own simplicity you astonished expression boisterous,Transformational/Horizon 3,Yes,0.333333333,0.481481481,2,scored,3
Ennio Morricone,Cinema Paradiso,Possession themselves sentiments apartments devonshire we of do discretion,Adjacent/Horizon 2,Yes,0.933333333,0.333333333,3,scored,3
Ennio Morricone,Time to Kill,Enjoyment discourse ye continued pronounce we necessary abilities,Adjacent/Horizon 2,Yes,0.6,0.888888889,3,scored,3
Ennio Morricone,Casualties of War,Continual delighted as elsewhere am convinced unfeeling,Adjacent/Horizon 2,Yes,0.533333333,0.285714286,2,scored,3
Ennio Morricone,Fat Man and Little Boy,Introduced stimulated attachment no by projection,None,TBD,0.133333333,0.19047619,1,scored,4
Ennio Morricone,Bugsy,To loud lady whom my mile sold four,Adjacent/Horizon 2,Yes,0.466666667,0.518518519,2,scored,3
Angelo Badalamenti,Blue Velvet,Need miss all four case fine age tell,TBD,TBD,0.933333333,0.666666667,3,scored,4
Angelo Badalamenti,Mulholland Drive,He families my pleasant speaking it bringing it thoughts,TBD,TBD,0.933333333,0.666666667,3,scored,4
Vangelis,Blade Runner,View busy dine oh in knew if even,Adjacent/Horizon 2,Yes,0.277777778,0.444444444,2,scored,3
Vangelis,1492: Conquest of Paradise,Boy these along far own other equal old fanny charm,None,TBD,0.2,0.222222222,1,scored,4
Vangelis,Chariots of Fire,Difficulty invitation put introduced see middletons nor preference,Adjacent/Horizon 2,No,0.466666667,0.380952381,2,scored,1
Vangelis,Alexander,Chapter too parties its letters nor,Adjacent/Horizon 2,Yes,0.133333333,0.611111111,2,scored,3
